id,name,active,create_date,IMEI,DID,MDR1,MDS1,MDT1,MDR2,MDS2,MDT2,MDR3,MDS3,MDT3,MDR4,MDS4,MDT4,CHAN
901,Record_901,True,2023-12-31 20:40:41,622130598234176,00000M5,31.09,0,1,64.82,0,1,7.79,0,2,3.16,0,3,1
902,Record_902,True,2023-12-31 19:40:41,749884497936044,00000M5,20.34,0,3,54.51,0,2,7.51,0,1,3.53,0,1,1
903,Record_903,True,2023-12-31 18:40:41,451045035248066,00000M5,22.12,0,1,69.4,0,3,7.05,0,1,3.66,0,3,1
904,Record_904,True,2023-12-31 17:40:41,940475349996623,00000M5,30.23,0,1,56.78,0,1,6.96,0,3,3.03,0,3,1
905,Record_905,True,2023-12-31 16:40:41,477542503789325,00000M5,27.19,0,2,57.37,0,3,7.66,0,2,3.55,0,3,1
906,Record_906,True,2023-12-31 15:40:41,738402565890921,00000M5,32.86,0,1,54.11,0,2,6.63,0,1,3.53,0,2,1
907,Record_907,True,2023-12-31 14:40:41,158975524934332,00000M5,28.63,0,3,51.87,0,2,6.45,0,1,3.26,0,2,1
908,Record_908,True,2023-12-31 13:40:41,410456511596103,00000M5,22.65,0,3,63.03,0,2,6.49,0,2,3.11,0,2,1
909,Record_909,True,2023-12-31 12:40:41,381743983238179,00000M5,30.87,0,3,69.81,0,3,7.76,0,2,3.96,0,1,1
910,Record_910,True,2023-12-31 11:40:41,938112106141753,00000M5,20.14,0,2,63.68,0,3,6.12,0,1,3.34,0,2,1
911,Record_911,True,2023-12-31 10:40:41,659859588825096,00000M5,28.16,0,1,52.11,0,1,6.02,0,3,3.8,0,2,1
912,Record_912,True,2023-12-31 09:40:41,707348860034067,00000M5,34.97,0,1,61.1,0,1,6.86,0,2,3.31,0,3,1
913,Record_913,True,2023-12-31 08:40:41,340887439666737,00000M5,22.16,0,1,56.01,0,3,6.22,0,1,3.85,0,2,1
914,Record_914,True,2023-12-31 07:40:41,469794937648614,00000M5,26.68,0,3,59.44,0,1,6.08,0,2,3.3,0,1,1
915,Record_915,True,2023-12-31 06:40:41,309652351301208,00000M5,24.96,0,1,66.07,0,1,6.1,0,3,3.19,0,3,1
916,Record_916,True,2023-12-31 05:40:41,655386158451699,00000M5,24.51,0,2,56.83,0,1,7.63,0,1,3.65,0,2,1
917,Record_917,True,2023-12-31 04:40:41,976360629891565,00000M5,34.89,0,1,63.62,0,3,7.9,0,2,3.48,0,3,1
918,Record_918,True,2023-12-31 03:40:41,387131747902413,00000M5,21.17,0,2,55.41,0,1,7.1,0,1,3.42,0,1,1
919,Record_919,True,2023-12-31 02:40:41,254406351173685,00000M5,24.9,0,1,68.82,0,1,7.44,0,3,3.19,0,1,1
920,Record_920,True,2023-12-31 01:40:41,900810918786937,00000M5,26.53,0,2,58.01,0,3,7.38,0,3,3.93,0,2,1
921,Record_921,True,2023-12-31 00:40:41,677462212266280,00000M5,31.06,0,3,67.18,0,3,7.71,0,2,3.11,0,1,1
922,Record_922,True,2023-12-30 23:40:41,376028559645791,00000M5,20.08,0,1,56.99,0,3,6.11,0,2,3.92,0,2,1
923,Record_923,True,2023-12-30 22:40:41,024506564328601,00000M5,28.87,0,2,69.88,0,3,7.03,0,1,3.48,0,1,1
924,Record_924,True,2023-12-30 21:40:41,675426615086394,00000M5,34.82,0,1,51.93,0,1,7.88,0,1,3.17,0,1,1
925,Record_925,True,2023-12-30 20:40:41,807164898994405,00000M5,29.62,0,1,64.39,0,3,7.79,0,2,3.88,0,3,1
926,Record_926,True,2023-12-30 19:40:41,221510888641228,00000M5,22.62,0,1,54.16,0,3,6.5,0,2,3.86,0,2,1
927,Record_927,True,2023-12-30 18:40:41,724261948412723,00000M5,20.49,0,3,53.27,0,3,7.7,0,3,3.35,0,3,1
928,Record_928,True,2023-12-30 17:40:41,497760129389968,00000M5,29.65,0,1,60.48,0,2,6.47,0,2,3.44,0,1,1
929,Record_929,True,2023-12-30 16:40:41,529289932788998,00000M5,33.11,0,3,53.59,0,1,6.37,0,3,3.94,0,1,1
930,Record_930,True,2023-12-30 15:40:41,594440063610557,00000M5,28.29,0,1,50.77,0,3,6.76,0,1,3.82,0,2,1
931,Record_931,True,2023-12-30 14:40:41,491119940595092,00000M5,27.46,0,1,67.36,0,2,7.46,0,2,3.11,0,3,1
932,Record_932,True,2023-12-30 13:40:41,825470910162498,00000M5,33.63,0,3,65.43,0,1,7.73,0,3,3.66,0,1,1
